Postal Code;City;Street
1825;Frederiksberg C;Hauchsvej
1826;Frederiksberg C;Alhambravej
1827;Frederiksberg C;Mynstersvej
1828;Frederiksberg C;Martensens Alle
1829;Frederiksberg C;Madvigs Alle
1835;Frederiksberg C;Postboks
1850;Frederiksberg C;Gammel Kongevej 85-179 + 60-178
1851;Frederiksberg C;Nyvej
1852;Frederiksberg C;Amicisvej
1853;Frederiksberg C;Maglekildevej
1854;Frederiksberg C;Dr. Priemes Vej
1855;Frederiksberg C;Hollændervej
1856;Frederiksberg C;Edisonsvej
1857;Frederiksberg C;Hortensiavej
1860;Frederiksberg C;Christian Winthers Vej
1861;Frederiksberg C;Sagasvej
1862;Frederiksberg C;Rathsacksvej
1863;Frederiksberg C;Ceresvej
1864;Frederiksberg C;Grundtvigsvej
1865;Frederiksberg C;Grundtvigs Sidevej
1866;Frederiksberg C;Henrik Steffens Vej
1867;Frederiksberg C;Acaciavej
1868;Frederiksberg C;Bianco Lunos Alle
1870;Frederiksberg C;Bülowsvej
1871;Frederiksberg C;Thorvaldsensvej
1872;Frederiksberg C;Bomhoffs Have
1873;Frederiksberg C;Helenevej
1874;Frederiksberg C;Harsdorffsvej
1875;Frederiksberg C;Amalievej
1876;Frederiksberg C;Kastanievej
1877;Frederiksberg C;Lindevej
1878;Frederiksberg C;Uraniavej
1879;Frederiksberg C;H.C. orsteds Vej
1900;Frederiksberg C;Vodroffsvej
1901;Frederiksberg C;Tårnborgvej
1902;Frederiksberg C;Lykkesholms Alle
1903;Frederiksberg C;Sankt Knuds Vej
1904;Frederiksberg C;Forhåbningsholms Alle
1905;Frederiksberg C;Svanholmsvej
1906;Frederiksberg C;Schonbergsgade
1908;Frederiksberg C;Prinsesse Maries Alle
1909;Frederiksberg C;Vodroffs Tværgade
1910;Frederiksberg C;Danasvej
1911;Frederiksberg C;Niels Ebbesens Vej
1912;Frederiksberg C;Svend Trosts Vej
1913;Frederiksberg C;Carl Plougs Vej
1914;Frederiksberg C;Vodroffslund
1915;Frederiksberg C;Danas Plads
1916;Frederiksberg C;Norsvej
1917;Frederiksberg C;Sveasvej
1920;Frederiksberg C;Forchhammersvej
1921;Frederiksberg C;Sankt Markus Plads
